,profile_id,lat,lon,prediction
543,2902982_144,20.723,137.72,5
544,2902988_166,31.53,146.624,7
545,2902991_89,37.443,149.185,6
546,2902994_46,24.991,150.443,7
547,2902995_74,25.021,148.844,7
548,2902997_119,41.485,155.559,4
549,2903001_46,23.54,130.035,7
550,2903001_61,24.139,124.923,7
551,2903188_155,30.829,148.372,7
552,2903192_92,23.696,129.538,7
553,2903193_99,30.82,137.871,7
554,2903195_119,21.427,135.849,7
555,2903195_71,24.03,135.866,5
556,2903197_124,32.346,163.735,7
557,2903199_114,33.477,146.573,7
558,2903203_132,38.556,177.695,0
559,2903206_319,37.343,-171.357,0
560,2903206_338,37.571,-170.725,0
561,2903206_343,37.59,-170.555,0
562,2903207_85,41.841,169.722,6
563,2903211_56,35.505,151.629,7
564,2903221_19,30.736,140.262,7
565,2903326_4,25.345,128.988,7
566,2903328_52,30.695,164.111,7
567,2903336_27,30.003,135.349,7
568,2903336_34,33.823,137.544,0
569,2903347_36,25.071,170.586,7
570,2903347_48,24.598,173.442,5
571,2903351_7,37.7,164.129,0
572,2903352_3,36.674,163.01,0
573,2903355_32,31.346,167.108,7
574,2903358_20,29.33,159.804,7
575,2903360_21,35.455,148.628,5
576,2903361_39,40.155,148.037,4
577,2903366_19,27.133,131.868,7
578,2903368_12,36.187,155.211,7
579,2903373_16,40.346,144.552,4
580,2903376_13,32.622,138.984,5
581,3900587_413,14.559,-155.596,2
582,3900742_322,7.065,-100.693,0
583,3900842_256,-26.03256,-87.19166,0
584,3901051_163,-22.07895,-86.46445,0
585,3901053_164,-24.28784,-87.85439,0
586,3901127_219,-39.48943,-95.01729,6
587,3901153_203,-1.439,-106.282,2
588,3901162_278,-1.66665,-142.60701,3
589,3901176_172,3.299,-92.475,2
590,3901185_187,-15.191,-77.443,0
591,3901188_192,-6.725,-93.797,2
592,3901198_119,-29.191,-121.751,0
593,3901203_120,2.186,-108.553,2
594,3901204_164,-5.84524,-105.78779,2
595,3901208_129,-5.79024,-133.96443,3
596,3901208_167,-6.92327,-134.90477,3
597,3901216_140,-43.37296,-82.64569,6
598,3901218_123,-50.27146,-86.58657,4
599,3901234_89,-2.55154,-90.97997,0
600,3901243_155,-10.47385,-81.46119,0
601,3901245_103,-48.474,-98.60616,4
602,3901245_137,-46.00871,-105.49311,4
603,3901246_80,-8.4071,-106.95386,2
604,3901256_92,-33.309,-74.726,6
605,3901263_261,1.23951,-82.95705,2
606,3901264_212,3.05858,-88.48476,2
607,3901268_94,-22.23151,-96.81678,3
608,3901270_106,-22.23498,-82.69104,0
609,3901271_106,-21.85933,-78.21226,0
610,3901273_76,-32.49748,-118.21791,0
611,3901281_70,-30.654,-77.838,0
612,3901283_64,-38.022,-75.672,6
613,3901290_67,-21.823,-106.184,5
614,3901294_94,-42.837,-97.926,6
615,3901295_90,-42.784,-105.558,6
616,3901302_10,5.154,-94.637,2
617,3901304_24,11.58,152.691,3
618,3901306_2,0.604,-109.914,0
619,3901314_52,-31.38128,-90.65295,0
620,3901475_67,-44.32492,-96.76941,6
621,3901483_33,-34.88061,-80.7379,6
622,3901485_27,-31.48277,-73.82051,6
623,3901789_46,-25.94439,-91.91676,0
624,3901809_155,-14.77214,-81.10153,0
625,3901817_98,-5.8357,-97.78392,0
626,3901905_64,-47.161485,-178.18724833333334,6
627,3902141_43,-21.98778,-85.01585,0
628,3902142_284,-19.00904,-83.71712,0
629,3902145_14,-16.97996,-98.86401,3
630,3902388_12,-18.517,-116.538,5
631,4900857_336,24.179,-131.322,2
632,4900857_337,24.53,-131.474,2
633,4901054_239,49.031,-146.346,4
634,4901191_235,49.17116165161133,-140.30914306640625,4
635,4901191_247,47.485652923583984,-139.9794921875,4
636,4901249_310,47.571,-161.193,4
637,4901263_304,50.305,-174.373,4
638,4901433_242,31.563,172.038,7
639,4901437_229,37.084,-152.369,6
640,4901487_237,14.205,-101.173,2
641,4901489_222,17.19,-128.776,2
642,4901492_249,18.297,-151.529,3
643,4901494_221,12.966,-108.184,2
644,4901543_193,33.439,-142.366,0
645,4901543_204,33.369,-141.169,0
646,4901554_197,21.497,-120.74,2
647,4901554_207,22.113,-121.269,0
648,4901555_186,22.605,-131.391,0
649,4901559_189,39.597,-130.026,6
650,4901563_227,49.859,166.044,4
651,4901571_138,4.116,-153.427,3
652,4901634_192,24.19338,-115.23489,0
653,4901742_195,47.176631927490234,-140.2027130126953,4
654,4901774_126,50.27665328979492,-141.18592834472656,4
655,4902079_125,16.865,-146.603,2
656,4902088_143,50.485,178.862,4
657,4902149_138,30.595,-146.037,0
658,4902149_145,30.494,-145.554,0
659,4902299_97,34.943,-131.428,6
660,4902307_85,50.397,-165.877,4
661,4902310_96,57.889,-143.944,4
662,4902316_67,13.00058,-109.58693,2
663,4902317_94,12.75984,-98.27771,0
664,4902332_30,17.36526,-121.3847,2
665,4902332_52,18.17639,-121.61974,2
666,4902364_116,35.091,-178.362,0
667,4902367_105,46.029,-158.578,4
668,4902371_136,39.561,-140.53,6
669,4902380_6,46.434,-151.325,4
670,4902403_51,45.7269172668457,-136.1099853515625,4
671,4902407_43,50.35903549194336,-128.6648406982422,4
672,4902411_82,50.15450668334961,-132.89613342285156,4
673,4902417_71,47.32475280761719,-137.56845092773438,4
674,4902418_45,52.845062255859375,-140.76258850097656,4
675,4902459_30,54.260311126708984,-156.0312957763672,4
676,4902463_1,54.73484802246094,-154.441162109375,4
677,4902891_80,37.107,-164.382,6
678,4902893_68,52.589,-151.63,4
679,4902894_66,42.229,-160.966,6
680,4902899_83,-12.108,-94.843,2
681,4902900_75,-15.064,-97.178,0
682,4902900_94,-14.429,-98.666,2
683,4902902_76,21.297,-110.82,2
684,4902907_74,-0.728,-143.088,3
685,4902934_55,2.882,-148.039,3
686,4902949_40,18.054,-157.178,3
687,4902951_39,35.343,-146.684,0
688,4902979_49,46.853,-149.488,4
689,4902980_68,42.628,-155.158,6
690,4902999_21,3.356,-110.367,2
691,4903000_32,8.391,-174.379,2
